case,Kn,Ks,gamma,eps,m,f_s,pmax,p,r,E,P
1,0.050505050505050504,2.9797979797979797,0.4,0.1,1.25,0.34,10,-2.0,2.225540928492468,2.1418516874174367,-2.421182161859163
1,0.050505050505050504,3.0303030303030303,0.4,0.1,1.25,0.34,10,-2.0,2.225540928492468,2.1418516874174367,-2.4551717918900926
1,0.050505050505050504,3.080808080808081,0.4,0.1,1.25,0.34,10,-2.0,2.225540928492468,2.1418516874174367,-2.4891614219210223
1,0.050505050505050504,3.131313131313131,0.4,0.1,1.25,0.34,10,-2.0,2.225540928492468,2.1418516874174367,-2.523151051951952
1,0.050505050505050504,3.1818181818181817,0.4,0.1,1.25,0.34,10,-2.0,2.225540928492468,2.1418516874174367,-2.5571406819828817
1,0.050505050505050504,3.2323232323232323,0.4,0.1,1.25,0.34,10,-2.0,2.225540928492468,2.1418516874174367,-2.5911303120138114
1,0.050505050505050504,3.282828282828283,0.4,0.1,1.25,0.34,10,-2.0,2.225540928492468,2.1418516874174367,-2.6251199420447415
1,0.050505050505050504,3.3333333333333335,0.4,0.1,1.25,0.34,10,-2.0,2.225540928492468,2.1418516874174367,-2.659109572075671
1,0.050505050505050504,3.3838383838383836,0.4,0.1,1.25,0.34,10,-2.0,2.225540928492468,2.1418516874174367,-2.6930992021066005
1,0.050505050505050504,3.4343434343434343,0.4,0.1,1.25,0.34,10,-2.0,2.225540928492468,2.1418516874174367,-2.72708883213753
1,0.050505050505050504,3.484848484848485,0.4,0.1,1.25,0.34,10,-2.0,2.225540928492468,2.1418516874174367,-2.7610784621684603
1,0.050505050505050504,3.5353535353535355,0.4,0.1,1.25,0.34,10,-2.0,2.225540928492468,2.1418516874174367,-2.79506809219939
1,0.050505050505050504,3.5858585858585856,0.4,0.1,1.25,0.34,10,-2.0,2.225540928492468,2.1418516874174367,-2.8290577222303193
1,0.050505050505050504,3.6363636363636362,0.4,0.1,1.25,0.34,10,-2.0,2.225540928492468,2.1418516874174367,-2.863047352261249
1,0.050505050505050504,3.686868686868687,0.4,0.1,1.25,0.34,10,-2.0,2.225540928492468,2.1418516874174367,-2.897036982292179
1,0.050505050505050504,3.7373737373737375,0.4,0.1,1.25,0.34,10,-2.0,2.225540928492468,2.1418516874174367,-2.931026612323109
1,0.050505050505050504,3.7878787878787876,0.4,0.1,1.25,0.34,10,-2.0,2.225540928492468,2.1418516874174367,-2.9650162423540385
1,0.050505050505050504,3.8383838383838382,0.4,0.1,1.25,0.34,10,-2.0,2.225540928492468,2.1418516874174367,-2.9990058723849677
1,0.050505050505050504,3.888888888888889,0.4,0.1,1.25,0.34,10,-2.0,2.225540928492468,2.1418516874174367,-3.032995502415898
1,0.050505050505050504,3.9393939393939394,0.4,0.1,1.25,0.34,10,-2.0,2.225540928492468,2.1418516874174367,-3.0669851324468276
1,0.050505050505050504,3.9898989898989896,0.4,0.1,1.25,0.34,10,-2.0,2.225540928492468,2.1418516874174367,-3.1009747624777573
1,0.050505050505050504,4.040404040404041,0.4,0.1,1.25,0.34,10,-2.0,2.225540928492468,2.1418516874174367,-3.1349643925086865
1,0.050505050505050504,4.090909090909091,0.4,0.1,1.25,0.34,10,-2.0,2.225540928492468,2.1418516874174367,-3.1689540225396162
1,0.050505050505050504,4.141414141414141,0.4,0.1,1.25,0.34,10,-2.0,2.225540928492468,2.1418516874174367,-3.202943652570546
1,0.050505050505050504,4.191919191919192,0.4,0.1,1.25,0.34,10,-2.0,2.225540928492468,2.1418516874174367,-3.2369332826014765
1,0.050505050505050504,4.242424242424242,0.4,0.1,1.25,0.34,10,-2.0,2.225540928492468,2.1418516874174367,-3.2709229126324053
1,0.050505050505050504,4.292929292929293,0.4,0.1,1.25,0.34,10,-2.0,2.225540928492468,2.1418516874174367,-3.3049125426633363
1,0.050505050505050504,4.343434343434343,0.4,0.1,1.25,0.34,10,-2.0,2.225540928492468,2.1418516874174367,-3.338902172694265
1,0.050505050505050504,4.393939393939394,0.4,0.1,1.25,0.34,10,-2.0,2.225540928492468,2.1418516874174367,-3.372891802725195
1,0.050505050505050504,4.444444444444445,0.4,0.1,1.25,0.34,10,-2.0,2.225540928492468,2.1418516874174367,-3.406881432756125
1,0.050505050505050504,4.494949494949495,0.4,0.1,1.25,0.34,10,-2.0,2.225540928492468,2.1418516874174367,-3.4408710627870547
1,0.050505050505050504,4.545454545454545,0.4,0.1,1.25,0.34,10,-2.0,2.225540928492468,2.1418516874174367,-3.4748606928179835
1,0.050505050505050504,4.595959595959596,0.4,0.1,1.25,0.34,10,-2.0,2.225540928492468,2.1418516874174367,-3.508850322848914
1,0.050505050505050504,4.646464646464646,0.4,0.1,1.25,0.34,10,-2.0,2.225540928492468,2.1418516874174367,-3.5428399528798438
1,0.050505050505050504,4.696969696969697,0.4,0.1,1.25,0.34,10,-2.0,2.225540928492468,2.1418516874174367,-3.576829582910773
1,0.050505050505050504,4.747474747474747,0.4,0.1,1.25,0.34,10,-2.0,2.225540928492468,2.1418516874174367,-3.6108192129417027
1,0.050505050505050504,4.797979797979798,0.4,0.1,1.25,0.34,10,-2.0,2.225540928492468,2.1418516874174367,-3.6448088429726324
1,0.050505050505050504,4.848484848484849,0.4,0.1,1.25,0.34,10,-2.0,2.225540928492468,2.1418516874174367,-3.678798473003562
1,0.050505050505050504,4.898989898989899,0.4,0.1,1.25,0.34,10,-2.0,2.225540928492468,2.1418516874174367,-3.712788103034492
1,0.050505050505050504,4.94949494949495,0.4,0.1,1.25,0.34,10,-2.0,2.225540928492468,2.1418516874174367,-3.746777733065422
1,0.050505050505050504,5.0,0.4,0.1,1.25,0.34,10,-2.0,2.225540928492468,2.1418516874174367,-3.7807673630963516
1,0.10101010101010101,0.0,0.4,0.1,1.25,0.34,10,-2.0,2.225540928492468,2.1418516874174367,-0.37757763065615646
1,0.10101010101010101,0.050505050505050504,0.4,0.1,1.25,0.34,10,4.999859131010437,0.13534290926930567,0.1302534745091427,0.05549856926546837
