case,Kn,Ks,gamma,beta,c0,pmax,p,m,r,P,E_n,E_s,Etot,P/E
1,0.0,4.545454545454545,0.8,1.7,0.5,1.25,0.875251570777946,9.03435116147908,0.2997987433776431,0.11357158591956026,0.29939272065917333,0.00036111660580703304,0.29975383726498034,0.37888284252109095
1,0.0,4.595959595959596,0.8,1.7,0.5,1.25,0.8752495312569217,9.111248111384691,0.29980037499446255,0.11355357759054131,0.29940453037345255,0.0003520642059262985,0.29975659457937887,0.3788192808564586
1,0.0,4.646464646464646,0.8,1.7,0.5,1.25,0.8752474877121931,9.18814802607055,0.2998020098302455,0.11353601883572347,0.2994160064892245,0.0003433113715040649,0.29975931786072857,0.37875726314694086
1,0.0,4.696969696969697,0.8,1.7,0.5,1.25,0.8752454420989454,9.26505080484032,0.29980364632084366,0.11351889483788048,0.2994271612341793,0.0003348458360792842,0.2997620070702586,0.37869673994834774
1,0.0,4.747474747474747,0.8,1.7,0.5,1.25,0.8752433962179842,9.341956350444732,0.2998052830256126,0.11350219138409325,0.299438006288707,0.0003266559298038676,0.29976466221851084,0.3786376637729127
1,0.0,4.797979797979798,0.8,1.7,0.5,1.25,0.8752413517264325,9.418864570126456,0.299806918618854,0.1134858948364766,0.29944855281515176,0.0003187305458127945,0.29976728336096453,0.3785799889970736
1,0.0,4.848484848484849,0.8,1.7,0.5,1.25,0.8752393101482787,9.495775374804564,0.299808551881377,0.11346999210454359,0.2994588114845599,0.00031105910892912953,0.29976987059348903,0.3785236717749317
1,0.0,4.898989898989899,0.8,1.7,0.5,1.25,0.8752372728839171,9.572688678926484,0.29981018169286633,0.11345447061910313,0.2994687925020973,0.000303631546269988,0.2997724240483673,0.3784686699561052
1,0.0,4.94949494949495,0.8,1.7,0.5,1.25,0.8752352412190173,9.649604400231492,0.29981180702478616,0.11343931830759517,0.29947850563092554,0.0002964382596996434,0.2997749438906252,0.3784149430079928
1,0.0,5.0,0.8,1.7,0.5,1.25,0.8752332163324715,9.72652246038996,0.2998134269340227,0.11342452357077352,0.29948796021498286,0.00028947009991403365,0.2997774303148969,0.37836245194185686
1,0.050505050505050504,0.0,0.8,1.7,0.5,1.25,0.8866548300220525,2.1181184445459134,0.290676135982358,0.11685954815490093,0.2630000249944127,0.024615133112678506,0.2876151581070912,0.40630524804047086
1,0.050505050505050504,0.050505050505050504,0.8,1.7,0.5,1.25,0.8880396197032084,2.186354047179866,0.2895683042374332,0.11567099896296357,0.26428089714775965,0.022490619865555644,0.28677151701331527,0.4033559544813259
