case,alpha,beta,gamma,B,pmax,p,s,r,c,P,E,P/E
2,0.1,0.10101010101010101,0.06869,0.158,10,7.329584974802619,0.0,0.4965308080808081,0.10101010101010101,3.092679315276016,0.4965308080808081,6.2285748737925175
2,0.1,0.10101010101010101,0.0697,0.158,10,7.224106198281234,0.0,0.496479797979798,0.10101010101010101,3.0399935133840614,0.496479797979798,6.123096097271132
2,0.1,0.10101010101010101,0.07071,0.158,10,7.121640674886327,0.0,0.49642878787878786,0.10101010101010101,2.9888143380553456,0.49642878787878786,6.020630573876225
2,0.1,0.10101010101010101,0.07172,0.158,10,7.022061101815702,0.0,0.4963777777777778,0.10101010101010101,2.939078137888772,0.4963777777777778,5.921051000805601
2,0.1,0.10101010101010101,0.07273,0.158,10,6.925247247672656,0.0,0.49632676767676764,0.10101010101010101,2.8907247971859857,0.49632676767676764,5.824237146662554
2,0.1,0.10101010101010101,0.07374,0.158,10,6.831085468188804,0.0,0.4962757575757576,0.10101010101010101,2.8436974938127983,0.4962757575757576,5.730075367178704
2,0.1,0.10101010101010101,0.07475,0.158,10,6.739468261207391,0.0,0.49622474747474754,0.10101010101010101,2.79794247669083,0.49622474747474754,5.63845816019729
2,0.1,0.10101010101010101,0.07576,0.158,10,6.650293857263234,0.0,0.4961737373737374,0.10101010101010101,2.7534088610874887,0.4961737373737374,5.549283756253133
2,0.1,0.10101010101010101,0.07677,0.158,10,6.563465842481082,0.0,0.4961227272727273,0.10101010101010101,2.710048440065151,0.4961227272727273,5.462455741470981
2,0.1,0.10101010101010101,0.07778,0.158,10,6.478892810854754,0.0,0.49607171717171716,0.10101010101010101,2.6678155106207244,0.49607171717171716,5.377882709844653
2,0.1,0.10101010101010101,0.07879,0.158,10,6.3964880432706295,0.0,0.4960207070707071,0.10101010101010101,2.6266667131974004,0.4960207070707071,5.295477942260528
2,0.1,0.10101010101010101,0.0798,0.158,10,6.316169210906053,0.0,0.49596969696969695,0.10101010101010101,2.58656088338385,0.49596969696969695,5.215159109895953
2,0.1,0.10101010101010101,0.08081,0.158,10,6.2378581008701035,0.0,0.4959186868686869,0.10101010101010101,2.547458914734613,0.4959186868686869,5.136847999860002
2,0.1,0.10101010101010101,0.08182,0.158,10,6.161480362164791,0.0,0.49586767676767685,0.10101010101010101,2.5093236317506946,0.49586767676767685,5.0604702611546895
2,0.1,0.10101010101010101,0.08283,0.158,10,6.086965270232202,0.0,0.4958166666666667,0.10101010101010101,2.4721196721531378,0.4958166666666667,4.9859551692221
2,0.1,0.10101010101010101,0.08384,0.158,10,6.014245508520317,0.0,0.49576565656565663,0.10101010101010101,2.435813377665934,0.49576565656565663,4.913235407510217
2,0.1,0.10101010101010101,0.08485,0.158,10,5.9432569656494225,0.0,0.4957146464646466,0.10101010101010101,2.4003726925992246,0.4957146464646466,4.842246864639321
2,0.1,0.10101010101010101,0.08586,0.158,10,5.873938546894521,0.0,0.4956636363636364,0.10101010101010101,2.365767069590511,0.4956636363636364,4.7729284458844194
2,0.1,0.10101010101010101,0.08687,0.158,10,5.806231998818622,0.0,0.49561262626262625,0.10101010101010101,2.3319673819212996,0.49561262626262625,4.705221897808521
2,0.1,0.10101010101010101,0.08788,0.158,10,5.740081745998905,0.0,0.4955616161616162,0.10101010101010101,2.298945841880179,0.4955616161616162,4.639071644988804
2,0.1,0.10101010101010101,0.08889,0.158,10,5.675434738883945,0.0,0.49551060606060615,0.10101010101010101,2.2666759246914374,0.49551060606060615,4.574424637873844
2,0.1,0.10101010101010101,0.0899,0.158,10,5.612240311906608,0.0,0.495459595959596,0.10101010101010101,2.235132297571506,0.495459595959596,4.511230210896507
2,0.1,0.10101010101010101,0.09091,0.158,10,5.550450051055044,0.0,0.49540858585858594,0.10101010101010101,2.2042907535144627,0.49540858585858594,4.449439950044943
2,0.1,0.10101010101010101,0.09192,0.158,10,5.4900176701743275,0.0,0.4953575757575758,0.10101010101010101,2.1741281494428417,0.4953575757575758,4.389007569164226
2,0.1,0.10101010101010101,0.09293,0.158,10,5.430898895334492,0.0,0.4953065656565657,0.10101010101010101,2.1446223483916618,0.4953065656565657,4.32988879432439
2,0.1,0.10101010101010101,0.09394,0.158,10,5.373051356657914,0.0,0.49525555555555556,0.10101010101010101,2.1157521654221108,0.49525555555555556,4.272041255647813
2,0.1,0.10101010101010101,0.09495,0.158,10,5.3164344870506,0.0,0.4952045454545455,0.10101010101010101,2.087497316987192,0.4952045454545455,4.2154243860405
2,0.1,0.10101010101010101,0.09596,0.158,10,5.261009427328727,0.0,0.49515353535353535,0.10101010101010101,2.0598383734949928,0.49515353535353535,4.1599993263186255
2,0.1,0.10101010101010101,0.09697,0.158,10,5.206738937274154,0.0,0.4951025252525253,0.10101010101010101,2.0327567148364447,0.4951025252525253,4.105728836264054
2,0.1,0.10101010101010101,0.09798,0.158,10,5.153587312191108,0.0,0.49505151515151524,0.10101010101010101,2.00623448866366,0.49505151515151524,4.052577211181007
2,0.1,0.10101010101010101,0.09899,0.158,10,5.1015203045711175,0.0,0.4950005050505051,0.10101010101010101,1.9802545712224018,0.4950005050505051,4.000510203561016
2,0.1,0.10101010101010101,0.1,0.158,10,5.05050505050505,0.0,0.4949494949494949,0.10101010101010101,1.954800530558106,0.4949494949494949,3.949494949494949
